gold_case_order,gold_case_id,term_review_task_id,resolution_case_id,canonical_term,category,entity_type_proposal,problem_count,candidate_count,source_count,code_alternative_count,candidate_count_bucket,retrieval_profile,multi_source_supported,conflict_pair_count,problem_context_samples_json,gold_link_status,requires_problem_review,gold_decision_reason,reviewer,case_review_status
11,gold-case:17b2a48e340099cd7339,term-review-task:f584c3ac2f2a1ad7234f,resolution-case:8d6bad50ee0203c3b76f,견내량,지명,Place,1,6,1,5,C06_09,EXPANDED_ONLY,False,5,"[{""problem_id"": ""cj_v41_0116"", ""full_text"": ""주제: 임진왜란 때 수군의 활약 욕포에서 26칙의 적선은 걱파하는 전과루 올렉어 견내량에 머로민 왜군을 한산도 앞바다로 유인하여 학익진 전술을 펼쳐 물리워어 10여 척의 배로 명량에서 대승은 거두없어 (가) (나) (다)\n(가)~(다) 학생이 발표한 내용을 일어난 순서대로 옳게 나열한 것은?\n(가) - (나) - (다)\n(가) - (다) - (나)\n(나) - (가) - (다)\n(나) - (다) - (가)\n(다) - (가) - (나)""}]",REJECTED,NO,관련 용어 설명이 안나옴,MK,COMPLETE
12,gold-case:6c4be7f5a77abceaed26,term-review-task:4d972bf6554815263f5a,resolution-case:83f3f5d0533d5b20bd6e,홍영구 충렬비,문화재,Heritage,1,4,2,3,C03_05,EXPANDED_ONLY,True,0,"[{""problem_id"": ""cj_v41_0491"", ""full_text"": ""이 비각에는 홍영구 충렬비와 유림 대접비가 나란히 세워져 있다. 홍영구와 유림은 이 전쟁 당시 남한신성에 피란해 있던 국욈을 구하기 위해 근영 병을 이끌고 김회에서 적을 크게 물리쳤습니다.\n'이 전쟁' 중에 있었던 사실로 옳은 것은?\n훈련도감이 설치되었다.\n외규장각 도서가 약탈되었다.\n곽재우가 의령에서 의병을 일으켰다.\n강홍립이 이끄는 부대가 참전하였다.\n김준룡이 광교산 전투에서 승리하였다.""}]",UNRESOLVED,NO,관련 용어 설명이 안나옴,MK,COMPLETE
13,gold-case:5bff298111dd99e91bbe,term-review-task:6d5f6ee2a0cbcd4f2926,resolution-case:d060b08bfb192841beac,부여씨,왕조,Polity,10,23,2,14,C11_PLUS,EXACT_AND_EXPANDED,True,159,"[{""problem_id"": ""cj_v41_0103"", ""full_text"": ""이것은 (가)의 중대성에서 일본의 태정관에 보낸 외교 문서의 사본이다. 문서에는 정당성의 좌윤 하복연 등 주요 사신단의 명단과 두 나라의 우호를 돈독히 하고자 사신을 파견한다는 내용 등이 담겨 있다. 오늘 소개해 주실 자료는 무엇인가요?\n(가) 국가에 대한 설명으로 옳은 것은?\n광군을 창설하여 외침에 대비하였다.\n주자감을 설치하여 인재를 양성하였다.\n골품제라는 엄격한 신분제를 마련하였다.\n9주 5소경의 지방 행정 제도를 갖추었다.\n왕족인 부여씨와 8성의 귀족이 지배층을 이루었다.""}, {""problem_id"": ""cj_v41_0201"", ""full_text"": ""목종 5년에 6위의 직원을 마련하여 두엇는데 뒤에 8양군뉘다 ) 과 용호군짓{로)의 2군을 설치하고, 6위의 위에 엇게 하여다. 뒤에 또 중방을 설치하고 , 2군 ' 6위의 상장군과 대장군이 모두 회합하게 하였다\n다음 군사 제도를 운영한 국가에 대한 설명으로 옳은 것은?\n중정대를 두어 관리를 감찰하였다.\n9주 5소경의 지방 제도를 운영하였다.\n고관들의 합좌 기구인 도병마사를 설치하였다.\n인재를 등용하기 위하여 독서삼품과를 시행하였다.\n왕족인 부여씨와 8성의 귀족이 지배층을 이루었다.""}, {""problem_id"": ""cj_v41_0481"", ""full_text"": ""[기관라의] 관제에는 선조성이 있는데, 좌상국평장소 시중국좌상시 -간의가 소속되어 있다. 중대성에는 우상 우평장소:내사-조고사인이 소속되어 있다. 정당성에는 대내상 1명을좍 우당의 위에 두었고, 좌 우사정 각 1명을 좌-우평장소의 아래에 배치하였다 - 신당서\n다음 제도를 운영한 국가에 대한 설명으로 옳은 것은?\n교육 기관으로 주자감을 두었다.\n신라에 침입한 왜구를 격퇴하였다.\n9서당 10정의 군사 조직을 갖추었다.\n개국, 태창이라는 연호를 사용하였다.\n왕족인 부여씨와 8성의 귀족이 지배층을 이루었다.""}]",ACCEPTED,NO,후보의 설명과 이름이 일치함,MK,COMPLETE
14,gold-case:5abe2b30263d91d51a40,term-review-task:996c8a5901b9d70fd28a,resolution-case:3437a5c344a962382e98,포츠머스 조약,조약,Work,2,4,2,3,C03_05,EXACT_AND_EXPANDED,True,1,"[{""problem_id"": ""cj_v41_0838"", ""full_text"": ""당신은 무슨 이유로 이토 히로부미를 살해했는가? 일본은 전쟁 당시 우리나라의 독립을 보장해주겠다고 약속했다. 그러나 포츠머스 조약으로 전쟁이 종결되자, 이토는 우리 군신을 위협해 주권을 빼앗으려 하였다.\n'전쟁' 중에 있었던 사실로 옳지 않은 것은?\n일본이 독도를 불법적으로 편입하였다.\n일본과 미국이 가쓰라·태프트 밀약을 맺었다.\n일본인 메가타가 대한 제국의 재정 고문으로 초빙되었다.\n대한 제국이 기유각서를 통해 일제에 사법권을 박탈당하였다.\n군사 전략상 필요한 지역을 일본에 제공하는 한일 의정서가 강요되었다.""}, {""problem_id"": ""cj_v41_1366"", ""full_text"": ""미국 잡지 ‘포퓰러 매거진’의 1912년 마지막 호에는 한반도를 둘러싼 대한 제국과 일본, 러시아 간의 암투를 다룬 첩보 소설(The cat and the king)이 실렸습니다. 베델, 민영환 등 당대 인물들이 등장하는 이 소설은 일제가 포츠머스 조약을 체결하여 전쟁을 끝내고 대한 제국의 외교권을 박탈하려 하는 등 긴박하게 전개되었던 당시 상황을 배경으로 하고 있다.\n밑줄 그은 ‘전쟁’ 기간에 있었던 사실로 옳은 것은?\n고종이 아관 파천을 단행하였다.\n일본이 독도를 불법 편입하였다.\n러시아가 절영도 조차를 요구하였다.\n조청 상민 수륙 무역 장정을 체결하였다.\n평양 관민이 대동강에 침입한 제너럴 셔먼호를 불태웠다.""}]",ACCEPTED,NO,후보의 설명과 이름이 일치함,MK,COMPLETE
15,gold-case:1c20ff8911297a9c700f,term-review-task:76e93c17fa71ad9f5efd,resolution-case:48ea7a32a70f2fbe87b6,돈오점수,사상,Concept,7,5,2,3,C03_05,EXACT_AND_EXPANDED,True,2,"[{""problem_id"": ""cj_v41_0206"", ""full_text"": ""이 목판의 근은 '불일보조국사' 라는 시호를 반은 그가 지은 것 이다. 그는 화누록 바탕으로 수행하는 참신법을 강조하고 돈오점수률 주장하였다. 원든성물론 간화결의론 합각 목판\n‘그’에 대한 설명으로 옳은 것은?\n화왕계를 지어 국왕에게 바쳤다.\n천태종을 개창하여 불교 통합에 힘썼다.\n정혜결사를 통해 불교 개혁에 앞장섰다.\n심성의 도야를 강조한 유불 일치설을 제창하였다.\n불교 관련 설화를 중심으로 삼국유사를 저술하였다.""}, {""problem_id"": ""cj_v41_0301"", ""full_text"": ""이것은 개경 흥왕사 터에서 출토된 대각국사의 묘지명 탁본이다. 여기에는 문종의 넷째 아들인 그가 송에 유학하고 돌아온 후 국청사를 중심으로 천태종을 개창한 내용이 기록되어 있다.\n‘그’에 대한 설명으로 옳은 것은?\n정혜쌍수와 돈오점수를 주장하였다.\n무애가를 지어 불교 대중화에 힘썼다.\n황룡사 구층 목탑의 건립을 건의하였다.\n백련사 결사를 통해 불교 정화 운동을 전개하였다.\n교장도감을 설치하여 불교 경전 주석서를 편찬하였다.""}, {""problem_id"": ""cj_v41_0345"", ""full_text"": ""이곳은 (가)이/가 불교계 개혁 운동을 전개한 순천 송광사이다. 그는 수행 방법으로 돈오점수를 주장하였다. 지도에는 보조국사 감로탑과 국사전이 표시되어 있다.\n(가) 인물에 대한 설명으로 옳은 것은?\n승려들의 전기를 담은 해동고승전을 집필하였다.\n화엄일승법계도를 지어 화엄 사상을 정리하였다.\n권수정혜결사문을 작성하여 정혜쌍수를 강조하였다.\n불교 경전에 대한 주석서를 모아 교장을 편찬하였다.\n보현십원가를 지어 불교 교리를 대중에게 전파하였다.""}]",ACCEPTED,NO,후보의 설명과 이름이 일치함,MK,COMPLETE
16,gold-case:6fd58983e027b15efc5e,term-review-task:feb85bf6af4e88623631,resolution-case:8b55bcf52a378607a4de,왕옹,인물,Person,1,5,3,5,C03_05,EXACT_AND_EXPANDED,False,3,"[{""problem_id"": ""cj_v41_1109"", ""full_text"": ""(가) 최 우가 녹전거(祿轉車) 100여 대를 빼앗아 집안의 재물을 강화도로 옮기니, 수도가 흉흉하였다. …… 또 사자(使者)를 여러 도에 나누어 보내어, 백성을 산성과 섬으로 옮겼다. (나) 김 방경과 흔도(忻都), 홍차구, 왕희, 왕옹 등이 3군을 거느리고 진도를 토벌하여 크게 격파하고, 승화후 왕온을 죽였다. 김통정이 남은 무리를 이끌고 탐라로 도망하여 들어갔다.\n(가), (나) 사이의 시기에 있었던 사실로 옳은 것은?\n양규가 곽주성을 급습하여 탈환하였다.\n최무선이 진포에서 왜구를 격퇴하였다.\n강조가 정변을 일으켜 국왕을 폐위하였다.\n김윤후가 처인성에서 살리타를 사살하였다.\n이자겸과 척준경이 반란을 일으켜 궁궐을 불태웠다.""}]",REJECTED,NO,문제의 인물은 왕온인데 왕옹에 대한 설명만 뽑힘,MK,COMPLETE
17,gold-case:99fc4b19c5f9dce3f977,term-review-task:cd644baa4ddb35c97961,resolution-case:538fe3565f6920ace08f,파고다공원,유적,Heritage,1,2,2,2,C01_02,EXACT_AND_EXPANDED,False,0,"[{""problem_id"": ""cj_v41_0083"", ""full_text"": ""그날 오후 2시 10분 파고다 공원에 모든면 수백 명의 학생들이 10여 년간 약둘리 온 감정을 터뜨러 '만세. 독립 만세 틀 외치자 뇌생 벽력 같은 소리에 공원 근처에 살년 시민들도 크게 놀랍다. 공원 문을 쏟아저 나오 학생들은 종로 거리블 달리다 몹에 숨경년 선언서들을 길가에 뿌리터 거리블 누벗다. 월손 대통령이 주장한 약소민족의 사걸권이 실현되논 신세계가 시작된 젓이다 시위 학생들은 넉수궁 문앞에 당도하자 붐어하신 고종에계 조이를 표하고 잠시 멋없다 스고필드 기고문\n다음 자료에 나타난 민족 운동에 대한 설명으로 옳은 것은?\n조선 형평사의 주도로 전개되었다.\n신간회에서 진상 조사단을 파견하였다.\n조선 혁명 선언을 활동 지침으로 삼았다.\n전개 과정에서 일제가 제암리 학살 등을 자행하였다.\n성진회와 각 학교 독서회에 의해 전국적으로 확산되었다.""}]",ACCEPTED,NO,후보의 설명과 이름이 일치함,MK,COMPLETE
18,gold-case:d90009d74209a0069c8e,term-review-task:7d90a3b1011f43a37501,resolution-case:c258191ff9ef77758e0a,카자흐스탄,국가,Polity,1,4,2,4,C03_05,EXACT_AND_EXPANDED,False,1,"[{""problem_id"": ""cj_v41_1178"", ""full_text"": ""이 문서는 일제에 협력하는 것을 방지한다는 명분으로 (가) 의 한인들을 중앙아시아로 강제 이주 시키라는 명령서이다. 1937년에 소련 공산당 서기장 스탈린이 승인한 이 명령의 시행으로 블라디보스토크를 포함한 (가) 의 한인 10만 명 이상이 우즈베키스탄, 카자흐스탄 등지로 강제 이주당하였다.\n(가) 지역에서 일어난 민족 운동에 대한 설명으로 옳은 것은?\n권업회를 조직하고 신문을 발행하였다.\n한인 자치 기구인 경학사를 설립하였다.\n유학생을 중심으로 2·8 독립 선언서를 발표하였다.\n독립군 양성을 위해 대조선 국민 군단을 결성하였다.\n서전서숙과 명동 학교를 설립하여 민족 교육을 실시하였다.""}]",ACCEPTED,NO,후보의 설명과 이름이 일치함,MK,COMPLETE
19,gold-case:7f37013597b6ed133d6f,term-review-task:514e98b43e7e87ada88b,resolution-case:01c89db492b6f7584179,강우규,인물,Person,4,10,2,9,C10,EXACT_AND_EXPANDED,True,0,"[{""problem_id"": ""cj_v41_0183"", ""full_text"": ""○○시 근현대 역사 투어 출발지: ○○ 버스 터미널 답사 장소 - 친일파 연구의 선구자 임종국 선생 흉상 - 유관순 열사 사적지 - 일본군 '위안부' 묘역, 망향의 동산 - 독립 기념관\n다음 지역에서 있었던 사실로 옳은 것은?\n4ㆍ3 사건으로 많은 주민이 희생되었다.\n오페르트가 남연군 묘 도굴을 시도하였다.\n아우내 장터에서 독립 만세 운동이 일어났다.\n강우규가 사이토 총독에게 폭탄을 투척하였다.\n지주 문재철의 횡포에 맞서 소작 쟁의가 발생하였다.""}, {""problem_id"": ""cj_v41_0234"", ""full_text"": ""이 사진은 璽5년 9월 2일 일왕을 대신하여 일본의 외무 대신이 연합군 앞에서 항복 문서에 서영하는 장면이다. 서영하는 인물은 시게미쓰 마모루인데. 그는 윤봉길의 상하이 홍커우 공원 뽼 당시 폭탄에 맞아 다리를 다쳤습니다. '활치 구월며望들우특\n‘의거’를 일으킨 단체에 대한 설명으로 옳은 것은?\n신채호의 조선 혁명 선언을 활동 지침으로 삼았다.\n김구를 단장으로 하여 활발한 의열 활동을 펼쳤다.\n조선 총독을 저격한 강우규가 단원으로 활동하였다.\n이상재 등의 주도로 민립 대학 설립 운동을 전개하였다.\n진상 조사단을 파견하여 광주 학생 항일 운동을 지원하였다.""}, {""problem_id"": ""cj_v41_0269"", ""full_text"": ""답사 자료집 우리 고장 탐방 [동고산성] 견훤이 세운 후백제와의 관련성을 짐작하게 해 주는 수막새 등이 출토되었다. [경기전] 태조 이성계의 어진을 모셨던 곳이며, 그 옆에는 실록을 보관하던 사고가 있었다.\n다음 답사 지역에 대한 탐구 활동으로 가장 적절한 것은?\n김헌창이 반란을 일으킨 근거지를 검색한다.\n성왕이 새롭게 도읍지로 삼은 지역을 파악한다.\n동학 농민군이 정부와 화약을 체결한 장소를 알아본다.\n강우규가 총독 사이토에게 폭탄을 투척한 곳을 찾아본다.\n신립이 배수의 진을 치고 왜군과 맞선 격전지를 조사한다.""}]",ACCEPTED,NO,후보의 설명과 이름이 일치함,MK,COMPLETE
20,gold-case:eaf76058483d688d410a,term-review-task:72c5b8f6045ef5a881a1,resolution-case:251a04988b501311afe8,몸뻬,유물,Heritage,4,2,2,1,C01_02,EXACT_ONLY,False,0,"[{""problem_id"": ""cj_v41_1184"", ""full_text"": ""○○ 고 한국사 교실 홈 게시판 수업 과제 사용자 성적 캘린더 ▣ 조별 과제 안내 수업 보관처리된 수업 일제 강점기 사회 및 문화의 변화를 일상생활의 변동과 설정 연관하여 보고서를 작성한 후 제목과 함께 게시판에 올려 주세요. 번호 제 목 1 1조 - 소비 문화의 정점, 백화점의 탄생 2 2조 - 수학여행을 통해 본 식민지 근대 관광 3 3조 - 문화 주택과 토막집 4 4조 - (가)\n(가)에 들어갈 내용으로 가장 적절한 것은?\n서양식 의료의 수용, 광혜원\n근대적 우편 제도의 시작, 우정총국\n전시 통제 체제 속에서 강요된 여성복, 몸뻬\n근면, 자조, 협동을 기치로 내세운 새마을 운동\n상품 광고의 새로운 장을 연 컬러텔레비전 방송""}, {""problem_id"": ""cj_v41_1233"", ""full_text"": ""이것은 한 제과업체의 캐러멜 광고로 탱크와 전투기 그림을 활용하여 “캐러멜도 싸우고 있다!”라는 문구를 담고 있다. 중일 전쟁 이후 일제가 국가 총동원법을 시행한 시기에 제작된 이 광고는 당시 군국주의 문화가 일상에까지 스며들어 있었음을 잘 보여 줍니다.\n밑줄 그은 ‘시기’에 볼 수 있는 사회 모습으로 가장 적절한 것은?\n몸뻬 착용을 권장하는 애국반 반장\n경성 제국 대학 설립을 추진하는 관리\n헌병 경찰에게 끌려가 태형을 당하는 농민\n원산 총파업에 연대 지원금을 보내는 외국 노동자\n안창남의 고국 방문 비행을 환영하기 위해 상경하는 청년""}, {""problem_id"": ""cj_v41_1326"", ""full_text"": ""한국사 웹 드라마 기획안 식민지 조선인의 삶 1화 단성사, 영화 아리랑을 상영하다 2화 몸뻬, 새로운 일상복으로 강요되다 3화 목포의 눈물, 나라 잃 은 설움을 노래하다 가 차례로 제시되어 있다. 이어 주의 사항으로 이라는 내용이 나와 있다. 경성 단성사에서 나운규 (1902~ 가 제작한 (무성 영화) 아리랑이 개봉한 것은 1926 년 10월의 일이다(1926.10.1). 영화 아리랑은 폭발적인 인기를 끌면서 이후 2년 6개월 동안 전국을 돌며 상영되었다. 몸뻬( 일 본어: もんぺ )는 원래 일본 도호쿠 지방에서 전통적으로 사용된 바지로, 일제 강점기 말에 일제에 의해 일본과 조선의 부녀자들 에게 강제로 보급된 헐렁한 바지이다( ). 당 시 일제는 국민복 착용과 함께 몸뻬 착용을 강요하였다. 목포의 눈물(문일석 작사, 손목인 작곡, 이난영 노래)은 1935년 9월 발 매된 대중가요이다(1935년 조선일보 향토 노래 현상 모집 당선 가사). 지금까지 큰 인기를 얻어 목포시 죽교동(유달산 정상 아 래)에 현재\n(가)에 들어갈 내용으로 적절하지 않은 것은?\n잡지 신여성, 여권 신장을 주장하다\n조선 형평사, 사회적 차별 철폐를 외치다\n소설 상록수, 브나로드 운동을 널리 알리다\n경성 방직 주식회사, 광목 태극성을 광고하다\n새마을 운동, 근면·자조·협동을 기치로 내세우다""}]",REJECTED,NO,한국사 능력 검정 시험에서 사용할 것 같지 않은 용어,MK,COMPLETE
21,gold-case:0d64ebbff107b51c815d,term-review-task:3e9ea0d64dcd984f7853,resolution-case:854a3cf765d5ed7069d4,대기성 차관,제도,Concept,1,4,2,3,C03_05,EXPANDED_ONLY,True,0,"[{""problem_id"": ""cj_v41_0285"", ""full_text"": ""미셸 캉드쉬 총재 귀하 1. 첨부된 경제 계획 각서에는 향후 3년 이상 한국이 실행할 정책이 요약되어 있다. 이 정책은 현재의 재정적 어려움을 초래한 근본 원인을 해결하여 시장의 신뢰를 회복하며, 한국 경제를 강력하고 지속 가능한 성장의 길로 이끌 수 있을 것이다. 이 경제 계획을 지원하기 위해 한국 정부는 향후 3년간 특별 인출권(SDR) 155억 달러 규모의 국제 통화 기금(IMF) 대기성 차관을 요청합니다.\n다음 문서가 작성된 이후의 사실로 옳은 것은?\n전국 민주 노동조합 총연맹이 창립되었다.\n저유가, 저금리, 저달러의 3저 호황이 있었다.\n제2차 석유 파동으로 경제 불황이 심화되었다.\n대통령 긴급 명령으로 금융 실명제가 실시되었다.\n대통령 직속 자문 기구인 노사정 위원회가 구성되었다.""}]",REJECTED,NO,애매함,MK,COMPLETE
22,gold-case:aeb24bc70af226486ee6,term-review-task:fa21f3aac6ad39a0b7db,resolution-case:c70ba28fa5e4983c35de,박종철 고문 치사 사건 은폐 조작,사건,Event,1,4,2,3,C03_05,EXPANDED_ONLY,True,0,"[{""problem_id"": ""cj_v41_0562"", ""full_text"": ""(가)의 현장을 찾아서 일시: 매주 토요일, 10:00 참가 대상: 시민 누구나 답사 경로: 향린 교회 - 명동 성당 - 성공회 성당 - 향린 교회: 민주 헌법 쟁취 국민운동 본부 발기인 대회 개최지 - 명동 성당: 박종철 고문 은폐 조작 발표 장소 - 성공회 성당: 6·10 국민 대회가 시작된 곳\n(가) 민주화 운동에 대한 설명으로 옳은 것은?\n신군부의 비상계엄 확대가 원인이 되어 일어났다.\n관련 기록물이 유네스코 세계 기록 유산으로 등재되었다.\n3·15 부정 선거에 항의하며 시위대가 경무대로 행진하였다.\n3·1 민주 구국 선언을 통해 긴급 조치 철폐 등을 요구하였다.\n호헌 철폐와 독재 타도 등의 구호를 내세운 시위가 확산되었다.""}]",ACCEPTED,NO,후보의 설명과 이름이 일치함,MK,COMPLETED
23,gold-case:0d6c6da16d6b6028d76d,term-review-task:a8d9749205d3c202150e,resolution-case:731ca65f8304d213aa13,두모진해관,유적,Heritage,1,4,2,3,C03_05,EXPANDED_ONLY,True,0,"[{""problem_id"": ""cj_v41_1028"", ""full_text"": ""조선 정부는 이곳에 해관을 설치하고 동래부 거류지의 일본 상인과 거 래하는 조선 상인으로부터 세금을 징수하였다 그러자 일본 상인이 조약 위반이라고 반발하였고, 결국 3개월 만에 수세가 중단되었다 우리나라 최초의 세관터, -두모진해관 -\n해설사가 설명하는 사건이 발생한 시기를 연표에서 옳게고 른 것은?\n(가)\n(나)\n(다)\n(라)\n(마)""}]",REJECTED,NO,해당 용어의 설명을 찾지 못함,MK,COMPLETED
24,gold-case:ae055066fb07946ed0d4,term-review-task:98a5f316b4861719094f,resolution-case:d5dfc97981b7af3f31b2,부여경,인물,Person,1,3,2,2,C03_05,EXACT_AND_EXPANDED,True,2,"[{""problem_id"": ""cj_v41_0289"", ""full_text"": ""(가) 온달이 왕에게 아뢰기를, “신라가 한강 이북 땅을 빼앗아 군현으로 삼았습니다. - 저에게 군사를 주신다면 단번에 우리 땅을 반드시 되찾겠습니다.”라고 하였다. (나) 10월에 백제 왕이 병력 3만 명을 거느리고 평양성을 공격해 왔다. 왕이 군대를 내어 막다가 날아온 화살에 맞아 이달 23일에 서거하였다. (다)9월에 왕이 병력 3만 명을 거느리고 백제를 침략하여 도읍 한성을 함락하였다. 백제 왕 부여경을 죽이고 남녀 8천 명을 포로로 잡아 돌아왔다.\n(가)~(다)를 일어난 순서대로 옳게 나열한 것은?\n(가)-(나)-(다)\n(가)-(다)-(나)\n(나)-(가)-(다)\n(나)-(다)-(가)\n(다)-(나)-(가)""}]",ACCEPTED,NO,후보의 설명과 이름이 일치함,MK,COMPLETED
25,gold-case:5632efdd8543b7a3ebd6,term-review-task:2c0c4b931a1b570f6121,resolution-case:282153422d3092c026e3,호남 창의 대장소,기관,Institution,1,5,2,3,C03_05,EXPANDED_ONLY,True,0,"[{""problem_id"": ""cj_v41_1225"", ""full_text"": ""답사 계획서 •주제: 동학 농민군의 발자취를 따라서 •기간: 2024년 월 일 ~ 일 •답사 장소 지역 장소 설명 호남 창의 대장소(大將所)를 설치 부안 하고 4대 강령을 발표하였다. 백산 장성 (가) 황룡 전적 농민군이 관군과 일본군을 상대로 공주 격전을 벌이다 패배하였다. 우금치 전적\n(가)에 들어갈 내용으로 옳은 것은?\n농민군이 정부와 화약을 맺었다.\n최제우가 혹세무민의 죄로 처형되었다.\n홍계훈의 관군을 상대로 농민군이 승리하였다.\n피신해 있던 농민군의 지도자 전봉준이 체포되었다.\n농민들이 조병갑의 탐학에 맞서 만석보를 파괴하였다.""}]",UNRESOLVED,NO,,MK,COMPLETED
26,gold-case:b2c6e069fb95637f639a,term-review-task:48b937737d80dd31ceb1,resolution-case:9ea88eb4f56bc1899f33,천마총 금관,유물,Heritage,1,5,2,4,C03_05,EXACT_AND_EXPANDED,True,3,"[{""problem_id"": ""cj_v41_img_66_03"", ""full_text"": ""천마총 발굴 50주년 특별전이 개최됩니다. 천마총은 (가)의 대표적인 돌무지덧널무덤 중 하나로 발굴 당시 많은 유물이 출토되어 주목을 받았습니다. 그중에서도 가장 유명한 천마도의 실물이 9년 만에 세상에 공개됩니다.\n(가) 국가의 문화유산으로 옳은 것은?\n청동 은입사 물가풍경무늬 정병\n금동연가7년명여래입상\n천마총 금관\n이불병좌상\n백제 금동대향로""}]",ACCEPTED,NO,후보의 설명과 이름이 일치함,MK,COMPLETED
27,gold-case:7bb0fd2d3af9782937b7,term-review-task:cb9dc3a68fc1faae6817,resolution-case:28be9e3599e7955ffdb8,민립대학기성준비회,단체,Organization,1,5,2,4,C03_05,EXPANDED_ONLY,True,0,"[{""problem_id"": ""cj_v41_1182"", ""full_text"": ""대학을 세운다는 일은 극히 거창하여 여간 몇 사람의 힘으로는 도저히 성취할 바가 아니므로 금일까지 실지의 운동이 일어나지 못하였던 것이라. 그러나 일이 거창하고 어렵다고 시작을 아니하면 언제까지든지 조선 사람의 대학이라는 것은 생겨볼 수가 없다. 그러므로 이번에 조선 전도의 다수한 유지를 망라하여 민중적 운동으로 될 수 있는 대로 많은 사람의 힘을 합하여 민립 대학 한 곳을 세워 보고자 이상재, 이승훈 등의 주창으로 수일 전에 민립 대학 기성 준비회를 조직하고 집행위원을 선정하였는데, 장차 각 부·군에서 다수한 발기인의 참가를 구하여 경성에서 발기회를 열고 실행 방법을 결정할 터이다. 1895 1911 1919 1924 1938 1942 (가) (나) (다) (라) (마) 한성 사범 학교 제1차 3·1 경성 제국 대학 제3차 조선어 학회 설립 조선 교육령 운동 개교 조선 교육령 사건\n다음 자료가 발표된 시기를 연표에서 옳게 고른 것은?\n(가)\n(나)\n(다)\n(라)\n(마)""}]",ACCEPTED,NO,후보의 설명과 이름이 일치함,MK,COMPLETED
28,gold-case:be44f046cbdca44d9930,term-review-task:35c89da78d0a0d2c5eb4,resolution-case:d6bae9ab76c84c8da2ff,향약집성방,문헌,Work,5,5,2,4,C03_05,EXACT_AND_EXPANDED,True,3,"[{""problem_id"": ""cj_v41_0062"", ""full_text"": ""감염병 확산 등에 대처하기 위해 구제도감을\n(가)에 들어갈 내용으로 옳지 않은 것은?\n물가 조절을 위해 상평창을 설치하였다.\n병자에게 의약품을 제공하는 혜민국이 있었다.\n환자 치료와 빈민 구제를 위해 동∙서 대비원을 두었어.\n국산 약재와 치료 방법을 정리한 향약집성방이 간행되었다.\n기금을 모아 그 이자로 빈민을 구제하는 제위보를 운영하였다.""}, {""problem_id"": ""cj_v41_0302"", ""full_text"": ""(역사 다큐엔터리 제작 기획안〉 15세기 조선, 과학을 꽃 피우다 1.기획 의도 조선 초, 부국강병과 민생 안정을 위해 과학 기술 분야에서 노력한 모습을 살펴본다. 2.구성 1부 태양의 그림자로 시간을 보는 앙부일구 (가) 3부 외적의 침입에 대비한 신무기, 신기전과 화차\n(가)에 들어갈 내용으로 옳지 않은 것은?\n기기도설을 참고하여 설계한 거중기\n국산 약재와 치료법을 소개한 향약집성방\n한양을 기준으로 한 역법서인 칠정산 내편\n활판 인쇄술의 발달을 가져온 계미자와 갑인자\n우리나라 실정에 맞는 농법을 소개한 농사직설""}, {""problem_id"": ""cj_v41_0531"", ""full_text"": ""왕이 명하였다. \""도성 안의 백성들이 역질에 걸렸으니 구제도감을 설치하여 치료하고, 시신과 유골은 거두어 매장하라.\"" 중서성에서 아뢰었다. \""지난해 관내 서도의 주현에 흉년이 들어 백성이 굶주리고 있다. 사창과 공해의 곡식을 내어 경작을 원조하고, 가난하여 살아갈 수 없는 자는 의창을 열어 진휼하십시오.\""\n다음 상황이 나타난 시기의 사회 시책으로 옳은 것은?\n유랑민을 구휼하는 활인서를 두었다.\n백성들에게 곡식을 빌려주는 진대법을 실시하였다.\n국산 약재와 치료법을 소개한 향약집성방을 편찬하였다.\n기근에 대비하기 위해 구황촬요를 간행하여 보급하였다.\n기금을 모아 그 이자로 빈민을 구제하는 제위보를 운영하였다.""}]",ACCEPTED,NO,후보의 설명과 이름이 일치함,MK,COMPLETED
29,gold-case:b788ff7a42d305807e4e,term-review-task:bbca2dec6404fea28f0c,resolution-case:be4c488e98dd414344b0,황국 신민 체조,정책,Concept,1,5,2,4,C03_05,EXPANDED_ONLY,True,0,"[{""problem_id"": ""cj_v41_0607"", ""full_text"": ""이 자료는 중일 전쟁 이후 일제가 침략 전쟁을 확대하던 시기에 만든 황국 신민 치조 실시 요령 이다. 일제는 이 체조를 보급하기 위해 황국 신민 체조의 날을 정하고 전국 곳곳에서 강습회를 개최하였다.\n'시기'에 시행된 일제의 정책으로 옳은 것은?\n회사령을 제정하였다.\n미쓰야 협정을 체결하였다.\n경성 제국 대학을 설립하였다.\n토지 조사 사업을 실시하였다.\n조선 사상범 예방 구금령을 공포하였다.""}]",UNRESOLVED,NO,후보와 같은 주제를 설명하지만 카테고리가 다름,MK,COMPLETED
