review_status,suggested_label,review_note,ml_sequence_index,round_no,question_no,problem_id,actual_label,predicted_label,era,original_topic,topic_train,question_type,question_subtype,core_concept,text_preview,is_correct
,,,208,51,8,cj_v41_0199,제도,인물,남북국 시대,제도,제도,역사 자료의 분석 및 해석,자료 기반 시대·대상 추론,해동성국이라,해외 소재 우리 문화유산 일본 편 함화 4년명 불비상 사진은 해동성국이라 불렸던 (개 의 함화 4년명 불비상(佛碑像)이다. 아미타불을 중심으로 좌우에 보살상 등이 새겨져 있고 그 아래에는 비문이 있다. 비문은 함화 4년에 허왕부(許王府) 관리인 조문휴의 어머니가 불비상을 조성했다는 내용을 담고 있다. 이를 통해 독자적인 연호를 사용했던 (개 의 국왕이 '허왕' 등의 제후므 거느린 황제와 같은 위상을 가졌음을 알 수 있다 (가) 국가에 대한 설명으로 옳은 것...,False
,,,238,51,38,cj_v41_0227,사건,문화,일제 강점기,사건,사건,역사 자료의 분석 및 해석,자료 기반 시대·대상 추론,중명전,- 주소: 서울특별시중구정동길41-1 1 - 개방 시간: 09:30~17:30 (가)에 대한 설명으로 옳은 것은? [키워드] 중명전 [Core Concept] 중명전,False
,,,249,51,49,cj_v41_0238,사건,인물,현대,사건,사건,역사 자료의 분석 및 해석,자료 기반 시대·대상 추론,민주화 운동,노래로 읽는 한국사 임을위한행진곡 사랑도 명예도 이름도 남김없이 한평생 나가자던 뜨거운 행세 동지는 간에 없고 깃발만 나부껴 새날이 올 때가지 흔들리지 말자 세월은 흘러가도 산천은 안다 깨어나서 외치는 뜨거운 함성 앞서서 나가니 산 자여 따르라 [해설] 이 당시 계엄군에 맞서 시민군으로 활동하다 희생된 고(故) 윤상원과 광주에서 야학을 운영하다 사망한 고 박기순의 영혼 결혼식에 헌정된 노래이다. 1997년 (개 기념일이 정부 기념일로 지정된 이후 기념식에서...,False
,,,259,52,9,cj_v41_0246,정치,제도,삼국 시대,군사,정치,역사 자료의 분석 및 해석,자료 기반 시대·대상 추론,발해,"대무예가 대장 장문휴를 보내 수군을 거느리고 등주를 공격하였다. 당 현종은 급히 대문예에게 유주의 군사를 거느리고 반격하게 하고, 태복경 김사란을 보내 신라군으로 하여금 (가)의 남쪽을 치게 하였다. 날씨가 매우 추운 데다 눈이 한 길이나 쌓여서 군사들이 태반이나 얼어 죽으니, 공을 거두지 못하고 돌아왔다. (가) 국가에 대한 설명으로 옳은 것은? [키워드] 대무예 신라 현종 군사 [Core Concept] 발해",False
,,,274,52,24,cj_v41_0260,인물,문화,조선,인물,인물,연대기의 파악,전후 시기 판단,실학자,"우리나라 은화는 연경과의 무역에 모두 써버린다. 하늘이 낸 이 보화를 가지고 비단, 그릇, 사치품 따위를 멀리서 사들여 와 하루도 못 가서 소비해 버린다. 나라에서 생산하는 은이 부족한 까닭에 일본 은을 들여다가 간신히 채우려고 하지만 나라의 은이 모두 바닥이 난다. - 성호사설 - 다음 주장이 제기된 시기에 볼 수 있는 모습으로 적절한 것은? [키워드] 성호사설 무역 [Core Concept] 실학자",False
,,,280,52,30,cj_v41_0266,제도,정치,개항기,제도,제도,역사 자료의 분석 및 해석,자료 기반 시대·대상 추론,영선사,이달의 오전 1050 58% 음청사는 (가) 로 청에 파견된 김윤식이 쓴 일기이다. 당시 청의 정치 - 경제 - 외교 - 문화 실상은 물론 이홍장과 나눈 대담 등이 기록되어 있어 근대사 음청사 연구에 도움이 되고 있다 (가) 사절단에 대한 설명으로 옳은 것은? [키워드] 경제 외교 [Core Concept] 영선사,False
,,,283,52,33,cj_v41_0269,문화,인물,삼국 시대,문화,문화,역사 탐구의 설계 및 수행,탐구 주제·활동 선정,위치한,"답사 자료집 우리 고장 탐방 [동고산성] 견훤이 세운 후백제와의 관련성을 짐작하게 해 주는 수막새 등이 출토되었다. [경기전] 태조 이성계의 어진을 모셨던 곳이며, 그 옆에는 실록을 보관하던 사고가 있었다. 다음 답사 지역에 대한 탐구 활동으로 가장 적절한 것은? [키워드] 후백제 이성계 백제 견훤 태조 활동 [Core Concept] 위치한",False
,,,292,52,42,cj_v41_0278,정치,제도,조선,정치,정치,연대기의 파악,전후 시기 판단,민족 말살 통치,"이 문서에는 국가 총동원법을 위반했다는 죄목으로 벌금이 부과된 사실이 기록되어 있다. 일제는 중일 전쟁 이후 침략 전쟁을 확대하던 시기에 이 법을 근거로 전쟁에 필요한 인적- 물적 자원을 ! 수달하고, 국민의 일상생활까지 통제하였다. 국가 총동원법 위반 벌금 1%엔 ‘시기’에 볼 수 있는 모습으로 적절한 것은? [키워드] 국가총동원법 일제 전쟁 [Core Concept] 민족 말살 통치",False
,,,302,53,2,cj_v41_0288,정치,문화,초기 국가,정치,정치,역사 자료의 분석 및 해석,자료 기반 시대·대상 추론,소도,이 나라에는 제사장인 천군과 신성 지역인 소도가 존재했어. 5월과 10월에 하늘에 제사 지내는 풍습도 있었다. ‘이 나라’에 대한 설명으로 옳은 것은? [키워드] 소도 천군 [Core Concept] 소도,False
,,,311,53,11,cj_v41_0296,인물,제도,고려,인물,인물,역사 자료의 분석 및 해석,자료 기반 시대·대상 추론,고려의 어사대,"시정(時政)을 논박하고 풍속을 교정하며 규찰과 탄핵 업무를 담당하였다. 국초에는 사헌대(司憲臺)라 불렸다. 성종 14년에 (가) (의로 고쳤으며 [관원으로] 대부, 중승, 시어사, 전중(殿中)시어사, 감찰어사가 있었다. - 고려사 (가) 기구에 대한 설명으로 옳은 것은? [키워드] 고려 성종 풍속 [Core Concept] 고려의 어사대",False
,,,312,53,12,cj_v41_0297,제도,인물,고려,제도,제도,역사 자료의 분석 및 해석,자료 기반 시대·대상 추론,고려 공민왕,이곳에는 끄과 그의 왕비인 노국 대장 공주의 영정이 봉안되어 있습 니다. 조선의 종묘에 고려 왕의 신당이 조성되었다는 점이 특이합니다. 이 왕은 기철 등 친원 세력을 숙청하고 정동행성 이문소를 폐지하였다. ‘이 왕’의 정책으로 옳은 것은? [키워드] 고려 조선 기철 [Core Concept] 고려 공민왕,False
,,,313,53,13,cj_v41_0298,사건,정치,고려,사건,사건,역사 자료의 분석 및 해석,자료 기반 시대·대상 추론,거란,"(가) 임금이 강조를 토벌한다는 구실로 친히 군사를 거느리고 와서 홍화진을 포위하였다. 양규는 도순검사가 되어 성문을 닫고 굳게 지켰다. (가) 이/가 강조의 편지를 위조하여 홍화진에 보내어 항복하라고 설득하였다. 양규가 말하기를, “나는 왕명을 받고 온 것이지 강조의 명령을 받은 것이 아니다. ”라고 하면서 항복하지 않았다 (가) 국가에 대한 고려의 대응으로 옳은 것은? [키워드] 고려 군사 [Core Concept] 거란",False
,,,324,53,24,cj_v41_0307,사건,문화,조선,사건,사건,연대기의 파악,전후 시기 판단,패설 소설,"가만히 살펴보니, 최근 여자들이 서로 다투어 즐겨하는 것이 오직 패설(稗說)*을 숭상하는 일이다. 패설은 날로 달로 증가하여 그 종류가 이미 엄청나게 되었다. 세책가에서는 패설을 깨끗이 필사하여, 빌려 보는 자가 있으면 그 값을 받아서 이익으로 삼는다. 부녀들은 …… [패설을] 서로 다투어 빌려다가 온종일 허비하니 음식이나 술을 어떻게 만드는지, 베를 어떻게 짜는지에 대해서도 모르게 되었다. - 연암집 - *패설(稗說): 민간에서 떠도는 이야기를 주제로 한...",False
,,,361,54,11,cj_v41_0342,제도,인물,고려,제도,제도,역사 자료의 분석 및 해석,자료 기반 시대·대상 추론,고려 성종,"왕이 “중앙의 5품 이상 관리들은 각자 봉사를 올려 시정( 拗의 잘잘못을 논하라.”라고 명령하였다. 최승로가 상소하였는데 대략 다음과 같은 내용이었다. “ 이제 앞선 5대 조정의 정치와 교회에 대해서 잘되고 잘못된 행적들을 기록하고, 거울로 삼거나 경계할 만한 것들을 삼가 조목별로 아뢰겠습니다. ------ 신이 또 시무(時務) 28조를 기록하여 장계와 함께 따로 봉하여 올립니다. ” 고려사절요 - ‘왕’의 업적으로 옳은 것은? [키워드] 고려 업적 [Co...",False
,,,367,54,17,cj_v41_0348,제도,정치,고려,제도,제도,연대기의 파악,전후 시기 판단,세우,"(가) 다루가치가 왕을 비난하면서 말하기를, “선지(宣旨)라 칭하고, 짐(朕)이라 칭하고, 사(赦)라 칭하니 어찌 이렇게 참람 합니까?”라고 하였다. ------ 이에 선지를 왕지(王旨)로, 짐을 (나) 왕이 시해딩하자 태후가 종실에서 [후사를] 골라 세우고자 하니, 시중 이인임이 백관을 거느리고 우왕을 세웠다. - 고려사 - (가), (나) 사이의 시기에 있었던 사실로 옳은 것은? [키워드] 세우 고려 [Core Concept] 세우",False
,,,424,55,24,cj_v41_0400,제도,인물,조선,제도,제도,역사 자료의 분석 및 해석,자료 기반 시대·대상 추론,왕'은 영조,이것은 이 왕이 농경을 장려하기 위해 세손과 더불어 경잠기이다. 그는 균역법을 제정하여 백성의 군역 부담을 줄여주는 등 민생 안정에 많은 노력을 기울였다. '이 왕'에 대한 설명으로 옳은 것은? [키워드] 균역법 백성 [Core Concept] 왕'은 영조,False
,,,437,55,37,cj_v41_0413,정치,사건,조선,외교,정치,역사 지식의 이해,기본 사실·개념 확인,상소,"일본이 러시아에 선전 포고한 이후 우리의 독립과 영토를 보전한다고 몇 번이나 말하였지만, 그것은 우리나라의 이익을 빼앗아 자지하려는 것이었습니다. ------ 지금 저들이 황실을 보전하겠다는 말을 폐하께서는 과연 믿으십니까? 지금까지 군주의 지위가 아직 바뀌지 않았고 백성도- 아직 죽지 않았으며 각국 공사도 아직 돌아가지 않았습니다. 그리고 조약서가 다행히 폐하의 인준과 참정의 인가를 받은 것이 아니니, 저들이 가지고 있는 것은 역적들이 억지로 만든 헛된 ...",False
,,,442,55,42,cj_v41_0418,정치,문화,조선,정치,정치,역사 자료의 분석 및 해석,자료 기반 시대·대상 추론,조선어학회,이것은 (가) 이/가 1933년에 만든 한글 맞춤법 통일안의 총론이다. 기관지 한글을 간행하고 외래어 표기법 통일안을 마련하는 등 (가) 단체에 대한 설명으로 옳은 것은? [키워드] 한글맞춤법통일안 통일 [Core Concept] 조선어학회,False
,,,471,56,21,cj_v41_0446,사건,정치,조선,사건,사건,연대기의 파악,연표·흐름 빈칸,현량과 실시,"0 중앙에서는 홍문관 육경 - 대간, 지방에서는 감사와 수령이 천거한 사람들을 한 곳에 모아 시험을 치르면 많은 인재를 얻을 수 있을 것이다. 이는 한(漢)에서 시행한 현량과의 뜻을 이은 것이다. 0 정국공신은 이미 10년이 지난 일이지만 허위가 많았습니다. 공신 기록을 유지-평이 홀로 맡아서 이렇게까지 외람되었다. 지금 파지 않으면 개정할 수 없을 것이다. 1494 1504 (가) 1545 을사 사화 1567 선조 즉위 1623 인조 반정 1659 연산군...",False
,,,488,56,38,cj_v41_0461,정치,사건,개항기,정치,정치,역사 자료의 분석 및 해석,자료 기반 시대·대상 추론,신민회,"이것은 평양에 있던 대성 학교의 교직원과 학생들을 촬영한 사진이다. 이 학교는 안창호, 양기탁 등이 조직한 (가)이/가 설립하였다. 〈보기〉 ㄱ. 태극 서관을 운영하였다. ㄴ. 105인 사건으로 와해되었다. ㄷ. 이륭양행에 교통국을 설치하였다. ㄹ. 입헌 군주제 수립을 목표로 하였다. (가) 단체에 대한 설명으로 옳은 것을 ＜보기＞에서 고른 것은? [키워드] 안창호 과학 사건 [Core Concept] 신민회",False
,,,494,56,44,cj_v41_0467,정치,사건,현대,정치,정치,역사 자료의 분석 및 해석,자료 기반 시대·대상 추론,광복군 정부,저는 지금 전로 한족회 중앙 총회가 개최된 건물 앞에 나와 있다. 이 단체는 이 지역에 거주한 한인들의 대표자 회의였다. 이 지역에서 전개된 민족 운동에 대해 올려 주세요. - 대한 국민 의회를 결성하였다요. - 대한 광복군 정부를 세웠어요. (가)에 들어갈 내용으로 옳은 것은? [키워드] 광복군 정부 광복 운동 [Core Concept] 광복군 정부,False
,,,502,57,2,cj_v41_0475,사건,문화,고조선,사건,사건,역사 자료의 분석 및 해석,자료 기반 시대·대상 추론,단군왕검,한국사 묻고 답하기 질문: 개천절에 대해 알려 주세요. 답변 - 단군왕검이 우리 역사상 최초의 국가인 이 나라를 건국한 것을 기리는 뜻으로 제정된 국경일이다. - 1909년에 대종교에서 개천일로 이름 짓고 기념한 것에서 유래되었다. - 매년 10월 3일에는 마니산 참성단에서 이 나라의 건국을 기념하는 행사가 거행됩니다. '이 나라'에 대한 설명으로 옳은 것은? [키워드] 단군왕검 대종교 단군 사상 종교 [Core Concept] 단군왕검,False
,,,532,57,32,cj_v41_0502,사건,인물,조선,사건,사건,역사 자료의 분석 및 해석,시각 자료 해석,역사적,"견- 탐구 활동 계획서 0학년 0반 이를 000 1. 주제: (가) 지역을 중심으로 본 조선의 대외 관계 2. 탐구 방법: 문헌 조사, 인터넷 검색 등 3. 탐구 내용 가. 대일 무역의 거점, 초량 왜관 나. 개항 이후 설정된 조계의 기능 다. 관세 문제로 일어난 두모포 수세 사건 원산 (가)에 해당하는 지역을 지도에서 옳게 찾은 것은? [키워드] 조선 개항 무역 지도 활동 사건 의거 [Core Concept] 역사적",False
,,,538,57,38,cj_v41_0508,사건,문화,개항기,사건,사건,연대기의 파악,전후 시기 판단,전차,"이 자료는 ㉠우리나라 최초의 전차가 개통된 해에 한성 전기 회사가 신문에 낸 안전 주의 사항이다. 낯선 교통수단인 전차의 운행으로 사고가 날 것을 우려하여 이러한 안내를 하였지만, 전차에 어린이가 치이는 등의 사고가 일어나 사회 문제가 되기도 하였다. *뎐거: 전차 ㉠ 시기에 볼 수 있는 모습으로 가장 적절한 것은? [키워드] 전차 한성전기회사 사회 [Core Concept] 전차",False
,,,545,57,45,cj_v41_0515,사건,정치,고조선,사건,사건,연대기의 파악,전후 시기 판단,38선,"(가) 본관(本官)은 본관에게 부여된1 태평양 미국 육군 최고 지휘관의 권한을 가지고 조선 북위 38도 이남의 지역과 주민에 대하여 군정을 설립함. 띠라서 점령에 관한 조건을 니음과 같이 포고다 제1조 조선 북위 38도 이남의 지역과 동 주민에 대한 모든 행정권은 당분간 본관의 권한하에서 시행한. (나) 대한민국 임시 정부는 28일 김구와 김규식의 명의로 '이국 원수에게 보내는 결의문을 채택하고, 각계 대표 70여 명으로 신탁 동치 만대 국민 총동원 위원회...",False
,,,550,57,50,cj_v41_img_57_50,제도,인물,현대,제도,제도,역사 자료의 분석 및 해석,자료 기반 시대·대상 추론,남북 관계와 통일 정책,수행 과제 안내문 과제: (가) 정부의 통일 노력 소개하기 안내: 제2차 남북 정상 회담을 개최한 (가) 정부의 통일 노력을 카드 뉴스로 제작해 봅시다. 주의 사항: 사진 자료는 공신력 있는 기관에서 수집할 것 예시: 남북 간의 교류와 협력을 위해 경의선 철도를 시험 운행하였다. (가) 정부의 통일 노력으로 옳은 것은? [키워드] 남북정상회담 남북 통일 [Core Concept] 남북 관계와 통일 정책,False
,,,553,58,3,cj_v41_0522,제도,사건,삼국 시대,제도,제도,역사 지식의 이해,기본 사실·개념 확인,나제 동맹,자네 들었는가? 백제의 동성왕이 사신을 보내 혼인을 청하셨다더군. 들었네. 우리 마립간께서 이벌찬 비지의 딸을 보내신다고 하네. 다음 상황이 전개된 배경으로 옳은 것은? [키워드] 마립간 백제 성왕 혼인 사신 [Core Concept] 나제 동맹,False
,,,560,58,10,cj_v41_0529,사건,문화,남북국 시대,사건,사건,연대기의 파악,전후 시기 판단,유행한,여기는 범일대사가 창건한 꿀산사가 있던 곳이야. 거대한 당간 지주는 이 절의 규모와 위상을 잘 보여주자 굴산사는 가지산문 개창 이후 선종 불교가 유행하던 이 시기에 창건되었다. '이 시기'에 있었던 사실로 옳은 것은? [키워드] 선종 불교 [Core Concept] 유행한,False
,,,572,58,22,cj_v41_0540,인물,사건,조선,인물,인물,연대기의 파악,전후 시기 판단,병자호란(1636,"(가) 왕에게 이괄 부자가 역적의 우두머리라고 고발한 자가 있었다. 왕은 반역은 아닐 것이라고 하면서도 이괄의 아들 이전을 잡아오라고 명하였다. 이에 이괄은 군영에 있던 장수들을 위협하여 난을 일으켰다. (나) 최명길을 보내 후금에 강화를 청하면서 그들의 진격을 늦추도록 하였다. 왕은 남한산성으로 향했고, 성안 백성의 통곡 소리가 하늘을 뒤흔들었다. (가), (나) 사이의 시기에 있었던 사실로 옳은 것은? [키워드] 백성 강화 [Core Concept] 병...",False
,,,574,58,24,cj_v41_0542,제도,인물,조선,제도,제도,역사 자료의 분석 및 해석,자료 기반 시대·대상 추론,영조,이것은 정인교의 서사시 「군정탄」이다. 이 작품에는 어린아이에게 군포를 부과하는 황구첨정 등의 폐단이 나타나 있다. 이러한 폐단을 해결하고자 이 왕은 균역청을 설치하고 양역 제도를 개선하였다. 남편은 세상을 떠났으나 뱃속에 아기가 있었지요. 그 아이가 장정으로 군적에 올라 군포를 바치라고 독촉하니 '이 왕'의 업적으로 옳은 것은? [키워드] 업적 제도 [Core Concept] 영조,False
,,,578,58,28,cj_v41_0546,사건,문화,개항기,사건,사건,연대기의 파악,전후 시기 판단,만동묘,창녕의 관산 서원 터에서 매주 시설이 발견되었다. 이 시설은 서원에 모셔져 있던 신주를 옹기에 넣고 기와로 둘러싼 뒤 묻은 것이다. 이번 발굴로 만동묘 철거 이후 서원을 철폐하던 시기에 신주를 어떻게 처리했는지 알 수 있게 되었다. '시기'에 있었던 사실로 옳은 것은? [키워드] 만동묘 서원 [Core Concept] 만동묘,False
,,,579,58,29,cj_v41_0547,인물,사건,개항기,인물,인물,역사 자료의 분석 및 해석,자료 기반 시대·대상 추론,동학 농민 운동,"에피소드 公 100% - *처 최신회부터 첫회부터 1 894, 녹두꽃 피고 지다 낡은 체제와 외세의 압박에 맞섰던 농민들, 그들이 이끈 변혁의 과정을 시간의 흐름에 따라 재구성해 본다 (가)에 들어갈 내용으로 가장 적절한 것은? [키워드] 이이 농민 [Core Concept] 동학 농민 운동",False
,,,586,58,36,cj_v41_0554,정치,사건,조선,정치,정치,역사 자료의 분석 및 해석,자료 기반 시대·대상 추론,단체가 의열단,검사: 폭탄을 구해 숨겨 놓은 이유가 무엇인가? 곽재기: 재작년 3월 이후로 조선 독립을 평화적으로 요청 했지만 아무 소용없었다. 그래서 우리는 상하이로 가서 육혈포와 폭탄을 구해 피로써 독립을 이루려고 하였다. 이성우: 폭탄으로 고위 관리를 죽이고 중요 건물을 파괴하여 독립을 쟁취하려고 하였다. 이것이 중국 지린성에서 김원봉과함께 (가) 을/를조직한 이유이다. - 1921년 6월 7일 밀양 폭탄 사건 공판 기록 - (가) 단체에 대한 설명으로 옳은 것은?...,False
,,,589,58,39,cj_v41_0557,정치,사건,남북국 시대,외교,정치,역사 자료의 분석 및 해석,자료 기반 시대·대상 추론,김규식,"우리는 조국 흥망의 관두(曰에서 이 위기를 극복하기 위해 오직 민족 자결 원칙에 의하여 조국의 남뿌통일과 민주 독립을 촉진해야 겠다. 우리 민족자주연맹 중앙집행위원회는 김구 선생과 김규식 박사의가인에 의하여 실현되는 남북 정치 협상을 전적으로 지지 하며, 아울러 그 성공을 위하여 적극적으로 협력할 것을 결의한다 관두: 가장 중요한 지점 다음 자료의 상황이 나타나게 된 배경으로 적절한 것은? [키워드] 김규식 의상 남북 통일 김구 협상 [Core Concep...",False
,,,598,58,48,cj_v41_0566,인물,문화,현대,인물,인물,역사 탐구의 설계 및 수행,탐구 주제·활동 선정,세시,"계절의 세시 풍속 푸른 새잎을 밟는 날, 답청절 강남 갔던 제비가 돌아온다는 봄의 시작을 알리는 날이다. 이날에는 들에 나가 푸른 새잎을 밟는 풍습이 있어 답청절이라고 부른다. - 날짜: 음력 3월 3일 - 음식: 화전, 쑥떡 - 풍속: 노랑나비 날리기, 활쏘기 다음 세시 풍속에 대한 탐구 활동으로 가장 적절한 것은? [키워드] 세시 풍속 활동 [Core Concept] 세시",False
,,,602,59,2,cj_v41_0570,인물,정치,고조선,인물,인물,역사 자료의 분석 및 해석,자료 기반 시대·대상 추론,고조선,"모시는 글 - 일시: 2022년 00월 00일 오후 3시 / 오후 7시 - 장소.- △△아트홀 우리 역사상 최초의 국가인 (가) 을/를 건국한 단군 왕검의 이야기가 뮤지컬로 탄생 하였다. -순서- 1막 횐웅이 신단수에 내려오다 2막 웅녀, 끔과 혼인하다 3막 단군왕검이 나라를 세우다 (가) 나라에 대한 설명으로 옳은 것은? [키워드] 단군왕검 단군 혼인 사상 [Core Concept] 고조선",False
,,,609,59,9,cj_v41_0576,제도,정치,삼국 시대,제도,제도,역사 자료의 분석 및 해석,자료 기반 시대·대상 추론,해동성국이라,이곳은 해동성국이라 불렸던 (가) 의 온돌 유적으로 함경남도 신포시 오매리에서 발견되었다. 이 유적에서는 열기가 지나가는 통로인 고래의 숫자를 늘려서 난방의 효율을 높였다는 사실을 확인할 수 있다. 이는 (가) 이/가 고구려의 온돌 양식을 계승하여 발전 시켰다는 사실을 잘 보여줍니다 (가) 국가에 대한 설명으로 옳은 것은? [키워드] 해동성국이라 해동성국 고구려 [Core Concept] 해동성국이라,False
,,,611,59,11,cj_v41_0578,인물,정치,고려,인물,인물,역사 지식의 이해,제도·기관·정책 기능 이해,숙종,신이 씨위因 진 이유는 적들은 기병인데 우리는 보병이라 대적할 수가 없었기 때문이다. 새로운 부대의 청실이 필요합니다. 그렇다면 그대의 의견대로 별무반을 상실하여 여진과 맞서도록 하라. 4 心 다음 대화에 등장하는 왕이 추진한 정책으로 옳은 것은? [키워드] 별무반 진한 여진 [Core Concept] 숙종,False
,,,637,59,37,cj_v41_0603,사건,정치,개항기,사건,사건,연대기의 파악,전후 시기 판단,즉위하여,별빛 석조전 야행 황제로 즉위한 고종이 부국강병을 위해 개혁을 추진하던 이 시기에 황궁의 정전으로 만들어 사용하고자 하였던 석조전에 초대합니다. 별빛이 내려앉은 석조전에서 색다른 정취를 느껴 보시기 바랍니다. 2022.○○.○○.~○○.○○. '이 시기'에 볼 수 있는 모습으로 적절한 것은? [키워드] 고종 즉위 개혁 [Core Concept] 즉위하여,False
